Rank6 Months to8 Mar 2022,RankYoY Change,Median Salary,Median SalaryYoY Change,Total UniquePermanent JobsDuring Period,LiveJobs
Architect,51,-5,"£85,000",+8.28%,"8,092 (5.72%)","1,593"
Stakeholder Management,52,+8,"£62,500",+4.16%,"7,938 (5.61%)","1,112"
AngularJS,53,-21,"£60,000",+9.09%,"7,883 (5.58%)","1,419"
Coaching,54,+48,"£66,213",+10.35%,"7,694 (5.44%)","1,027"
Continuous Improvement,55,+33,"£60,000",+9.09%,"7,496 (5.30%)","1,039"
SDLC,56,+16,"£62,500",+13.63%,"7,354 (5.20%)","1,015"
Active Directory,57,-17,"£40,000",-,"7,288 (5.15%)","1,733"
Senior Developer,58,-20,"£70,000",+16.66%,"7,242 (5.12%)","1,199"
ITIL,59,-5,"£47,500",-,"6,697 (4.74%)","1,214"
Jenkins,60,+4,"£70,000",+7.69%,"6,572 (4.65%)",913
Fintech,61,-16,"£70,000",-,"6,547 (4.63%)","1,059"
REST,62,+4,"£65,000",+8.33%,"6,519 (4.61%)",928
Data Science,63,+49,"£70,000",+7.69%,"6,455 (4.57%)",488
Banking,64,+16,"£75,000",-,"6,413 (4.54%)",911
JIRA,65,+11,"£57,500",-,"6,392 (4.52%)",993
Security Cleared,66,-4,"£57,500",+4.49%,"6,374 (4.51%)","1,684"
Cybersecurity,67,-4,"£65,000",+8.33%,"6,294 (4.45%)","1,071"
Google,68,+23,"£65,000",+8.33%,"6,276 (4.44%)",926
Continuous Integration,69,-8,"£65,000",+8.33%,"6,225 (4.40%)",806
Machine Learning,70,+19,"£70,000",+12.00%,"6,096 (4.31%)",603
Project Delivery,71,+29,"£60,000",+4.34%,"5,876 (4.16%)",808
Artificial Intelligence,72,+42,"£65,000",+4.00%,"5,871 (4.15%)",669
Power Platform,73,+13,"£55,000",+4.76%,"5,816 (4.11%)","1,182"
Front End Development,74,-1,"£60,000",+14.28%,"5,718 (4.04%)",884
Oracle,75,-1,"£59,500",+8.18%,"5,694 (4.03%)",899
MySQL,76,-11,"£55,000",+10.00%,"5,665 (4.01%)",831
PostgreSQL,77,+42,"£67,500",+3.84%,"5,593 (3.96%)",598
Decision-Making,77,+50,"£60,000",+9.09%,"5,593 (3.96%)",725
Serverless,78,+38,"£75,000",+7.14%,"5,543 (3.92%)",672
Inclusion and Diversity,79,+335,"£55,000",+4.65%,"5,444 (3.85%)",671
